Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades
1546300800000,3701.23000000,3703.72000000,3695.00000000,3696.32000000,85.57218100,1546301099999,316520.64154366,576
1546301100000,3696.30000000,3697.24000000,3689.88000000,3692.34000000,62.29658100,1546301399999,230065.01825839,384
1546301400000,3692.34000000,3698.93000000,3692.34000000,3697.31000000,43.10533300,1546301699999,159329.16016880,365
1546301700000,3697.91000000,3698.75000000,3693.00000000,3693.00000000,48.55108400,1546301999999,179441.29584747,397
1546302000000,3693.44000000,3695.98000000,3690.92000000,3692.18000000,47.70644300,1546302299999,176159.87774056,391
1546302300000,3692.94000000,3695.20000000,3690.56000000,3694.20000000,35.48519400,1546302599999,131060.13394017,285
1546302600000,3693.96000000,3705.00000000,3693.00000000,3701.41000000,58.17600100,1546302899999,215167.22146479,592
1546302900000,3700.08000000,3701.26000000,3697.34000000,3700.55000000,30.30032400,1546303199999,112106.56524120,402
1546303200000,3699.87000000,3702.39000000,3699.60000000,3702.39000000,83.40138900,1546303499999,308602.07651381,595
1546303500000,3702.05000000,3710.55000000,3702.00000000,3708.60000000,96.39493300,1546303799999,357187.08039150,575
1546303800000,3709.43000000,3713.00000000,3704.31000000,3706.59000000,49.76933400,1546304099999,184621.94503121,530
1546304100000,3706.59000000,3707.46000000,3695.02000000,3700.31000000,45.60862300,1546304399999,168808.21304337,442
1546304400000,3700.20000000,3702.18000000,3693.76000000,3693.79000000,72.22688500,1546304699999,267084.75337911,594
1546304700000,3694.96000000,3699.00000000,3691.22000000,3695.49000000,44.13652300,1546304999999,163118.62976490,445
1546305000000,3695.48000000,3702.73000000,3694.84000000,3701.03000000,23.50929800,1546305299999,86974.58308247,318
1546305300000,3702.39000000,3702.39000000,3696.67000000,3697.61000000,45.19048300,1546305599999,167169.09641775,382
1546305600000,3697.79000000,3699.64000000,3695.46000000,3696.27000000,32.95912500,1546305899999,121846.18202792,377
1546305900000,3696.89000000,3700.00000000,3695.50000000,3699.25000000,57.16915100,1546306199999,211433.64201987,316
1546306200000,3699.08000000,3699.25000000,3695.50000000,3697.43000000,37.10057300,1546306499999,137177.44051778,351
1546306500000,3697.43000000,3700.00000000,3696.16000000,3696.68000000,56.93024600,1546306799999,210486.44898493,394
1546306800000,3697.00000000,3698.47000000,3689.03000000,3691.41000000,46.31325200,1546307099999,171106.08471304,414
1546307100000,3691.34000000,3692.64000000,3684.22000000,3688.03000000,88.48345100,1546307399999,326305.64733733,564
1546307400000,3688.01000000,3692.42000000,3686.41000000,3689.69000000,42.96291000,1546307699999,158499.37968090,501
1546307700000,3689.69000000,3690.60000000,3685.47000000,3689.69000000,66.55721800,1546307999999,245497.93209148,430
1546308000000,3689.67000000,3692.60000000,3687.22000000,3690.00000000,67.39067000,1546308299999,248675.49490279,472
1546308300000,3690.00000000,3695.95000000,3688.83000000,3693.72000000,83.60471100,1546308599999,308726.32468857,502
1546308600000,3692.72000000,3693.67000000,3688.35000000,3691.67000000,122.73450200,1546308899999,452982.32246375,516
1546308900000,3691.65000000,3694.00000000,3687.12000000,3690.42000000,73.98971900,1546309199999,273025.43519111,686
1546309200000,3689.32000000,3694.14000000,3688.55000000,3691.10000000,50.89235300,1546309499999,187897.62660369,439
1546309500000,3692.54000000,3694.71000000,3675.04000000,3686.64000000,120.87646800,1546309799999,445419.07557225,897
1546309800000,3684.76000000,3689.68000000,3683.54000000,3686.23000000,48.26890400,1546310099999,177947.41564228,373
1546310100000,3686.34000000,3688.98000000,3683.17000000,3687.22000000,88.23148000,1546310399999,325247.98181583,633
1546310400000,3687.20000000,3689.99000000,3685.29000000,3686.97000000,43.67163800,1546310699999,161053.49114157,418
1546310700000,3687.55000000,3688.12000000,3682.92000000,3684.31000000,57.11782200,1546310999999,210536.53008003,497
1546311000000,3683.93000000,3686.07000000,3680.00000000,3682.17000000,55.20261400,1546311299999,203283.62182796,446
1546311300000,3683.73000000,3692.38000000,3682.34000000,3690.00000000,83.32130000,1546311599999,307248.98009400,512
1546311600000,3690.00000000,3693.03000000,3687.58000000,3691.03000000,89.77698900,1546311899999,331355.75858998,484
1546311900000,3691.65000000,3693.00000000,3689.17000000,3692.25000000,52.39911000,1546312199999,193438.95294450,396
1546312200000,3692.38000000,3698.95000000,3691.39000000,3698.27000000,96.08584200,1546312499999,355047.32384533,621
1546312500000,3696.21000000,3699.00000000,3692.43000000,3698.54000000,66.85180500,1546312799999,247134.78431727,424
1546312800000,3697.35000000,3699.00000000,3696.03000000,3699.00000000,36.98084900,1546313099999,136759.11720813,337
1546313100000,3699.00000000,3699.77000000,3696.36000000,3696.61000000,56.60522100,1546313399999,209347.35645998,284
1546313400000,3696.61000000,3696.61000000,3692.69000000,3695.14000000,62.62375300,1546313699999,231427.76173117,472
1546313700000,3695.73000000,3695.73000000,3689.10000000,3689.69000000,83.51921100,1546313999999,308320.45440654,611
1546314000000,3689.61000000,3691.49000000,3688.25000000,3688.28000000,42.68765500,1546314299999,157507.00809650,522
1546314300000,3689.44000000,3690.14000000,3687.02000000,3690.14000000,54.01258800,1546314599999,199250.31132861,540
1546314600000,3690.14000000,3694.07000000,3685.78000000,3692.50000000,109.01115900,1546314899999,402372.12416190,559
